artifact,path,path_exists,machine_path,machine_path_exists,type,analysis_purpose,manuscript_support,source_script,status
Dataset summary,results/phase2_tier2/dataset_summary.md,yes,results/phase2_tier2/dataset_summary.json,yes,dataset,"Dataset support: dataset description, class balance, split counts",Data section; experimental setup; dataset-description support,phase2_tier2_metadata.py,generated
Class balance table,results/phase2_tier2/class_balance.csv,yes,,,dataset,Dataset support: class balance and label distribution,Dataset statistics table,phase2_tier2_metadata.py,generated
Split class balance table,results/phase2_tier2/split_class_balance.csv,yes,,,dataset/protocol,Protocol support: split details and held-out test usage,Train/validation/test protocol description,phase2_tier2_metadata.py,generated
Compact feature ranges,results/phase2_tier2/compact_feature_ranges.csv,yes,,,dataset/features,Dataset support: engineered feature ranges,Dataset and feature-description details,phase2_tier2_metadata.py,generated
Training protocol,results/phase2_tier2/training_protocol.md,yes,results/phase2_tier2/training_protocol.json,yes,protocol,Protocol support: training details and hyperparameters,Methods; model-training protocol; hyperparameter table,phase2_tier2_training_protocol.py,generated
XGBoost hyperparameter grid,results/phase2_tier2/xgb_hyperparameter_grid.csv,yes,,,protocol,Protocol support: hyperparameters not reported,Hyperparameter grid table,phase2_tier2_training_protocol.py,generated
Repeated-split uncertainty summary,results/phase2_tier2/uncertainty_summary.md,yes,results/phase2_tier2/uncertainty_summary.json,yes,uncertainty,Uncertainty support: no uncertainty or cross-validation statistics,Robustness/stability paragraph; uncertainty table,phase2_tier2_uncertainty.py,generated
Repeated-split uncertainty runs,results/phase2_tier2/uncertainty_runs.csv,yes,,,uncertainty,Uncertainty support: per-seed stability evidence,Supplementary repeated-split table,phase2_tier2_uncertainty.py,generated
Compact feature dictionary,results/phase2_tier2/compact_feature_dictionary.md,yes,results/phase2_tier2/compact_feature_dictionary.json,yes,feature dictionary,"Feature-definition support: full feature list, definitions, formulas, time_span clarification",Feature-definition table; appendix; correction of rise/decline wording,phase2_tier2_feature_dictionary.py,generated
Compact feature dictionary CSV,results/phase2_tier2/compact_feature_dictionary.csv,yes,,,feature dictionary,Feature-definition support: tabular feature definitions,Feature table source,phase2_tier2_feature_dictionary.py,generated
Selected compact model,results/phase2_tier2/selected_compact_model.md,yes,results/phase2_tier2/selected_compact_model.json,yes,selected model,Protocol support: selected hyperparameters and final test metrics,Model-selection details; fixed-split baseline reproducibility,phase2_tier2_selected_model.py,generated
Tier 2 experiment audit,results/phase2_tier2/tier2_experiment_audit.md,yes,,,ablation audit,"Ablation support: ablation reproducibility and interpretation",Ablation results; compactness claim; analysis summary,phase2_tier2_audit.py,generated
Tier 2 experiment audit CSV,results/phase2_tier2/tier2_experiment_audit.csv,yes,,,ablation audit,Ablation support: machine-readable ablation summary,Ablation table source,phase2_tier2_audit.py,generated
