order,feature,feature_group,definition,formula_or_computation,physical_interpretation,directional_interpretation,importance_label,shap_rank,manuscript_caution
1,z_peak_flux,brightness,Log-compressed maximum reconstructed z-band flux stored as log10(1 + peak flux).,"log10(1 + max(reconstructed z-band flux, 0))","Band-specific peak brightness is a strong classifier signal, consistent with transient luminosity structure.",higher values increase Ia probability,dominant,2,
2,r_mean_flux,brightness,Signed-log mean reconstructed r-band flux stored as sign(value) * log10(1 + abs(value)).,sign(mean r-band flux) * log10(1 + abs(mean r-band flux)),Average r-band brightness encodes scale information beyond a single peak snapshot.,higher values decrease Ia probability,dominant,1,
3,peak_color_g_minus_r,color,"Magnitude-style color proxy computed as -2.5 * log10(g-band peak flux / r-band peak flux), then clipped to [-5, 5].","-2.5 * log10(g_peak_flux / r_peak_flux), clipped to [-5, 5]",Color near peak captures temperature or spectral-slope differences characteristic of Ia evolution.,higher values increase Ia probability,strong,7,
4,i_peak_flux,brightness,Log-compressed maximum reconstructed i-band flux stored as log10(1 + peak flux).,"log10(1 + max(reconstructed i-band flux, 0))",i-band peak brightness contributes strongly to separating Ia from non-Ia events.,higher values increase Ia probability,strong,6,
5,peak_color_r_minus_i,color,"Magnitude-style color proxy computed as -2.5 * log10(r-band peak flux / i-band peak flux), then clipped to [-5, 5].","-2.5 * log10(r_peak_flux / i_peak_flux), clipped to [-5, 5]",r-i color acts as a spectral-slope proxy near peak.,See dependence plot.,moderate,11,
6,peak_color_i_minus_z,color,"Magnitude-style color proxy computed as -2.5 * log10(i-band peak flux / z-band peak flux), then clipped to [-5, 5].","-2.5 * log10(i_peak_flux / z_peak_flux), clipped to [-5, 5]",i-z color contributes to distinguishing redder or later-phase light-curve behavior.,See dependence plot.,moderate,13,
7,g_mean_flux,brightness,Signed-log mean reconstructed g-band flux stored as sign(value) * log10(1 + abs(value)).,sign(mean g-band flux) * log10(1 + abs(mean g-band flux)),Mean g-band brightness adds complementary information to peak-only brightness proxies.,higher values decrease Ia probability,strong,3,
8,r_peak_flux,brightness,Log-compressed maximum reconstructed r-band flux stored as log10(1 + peak flux).,"log10(1 + max(reconstructed r-band flux, 0))",r-band peak brightness remains informative even after compact pruning.,See dependence plot.,moderate,12,
9,z_std_flux,variability,Log-compressed standard deviation of reconstructed z-band flux stored as log10(1 + std).,log10(1 + standard deviation of reconstructed z-band flux),Spread in z-band flux captures shape or variability around peak.,See dependence plot.,moderate,10,
10,i_amplitude,variability,Log-compressed reconstructed i-band amplitude stored as log10(1 + max peak-to-trough amplitude).,log10(1 + max peak-to-trough reconstructed i-band amplitude),i-band amplitude captures reconstructed peak-to-trough flux contrast as a light-curve-shape proxy.,See dependence plot.,weaker,16,"This is a reconstructed i-band peak-to-trough amplitude proxy, not a direct bolometric amplitude."
11,i_std_flux,variability,Log-compressed standard deviation of reconstructed i-band flux stored as log10(1 + std).,log10(1 + standard deviation of reconstructed i-band flux),"i-band variability helps capture light-curve shape, not just scale.",higher values increase Ia probability,strong,4,
12,time_span,temporal,Maximum normalized observation time minus minimum normalized observation time.,max(normalized observation time) - min(normalized observation time),Observed temporal coverage contributes because different classes occupy different effective time windows.,higher values increase Ia probability,strong,5,"This is observational time coverage, not a measured rise time or decline time."
13,z_time_of_peak,temporal,Normalized time at which reconstructed z-band flux reaches its maximum.,normalized time coordinate at maximum reconstructed z-band flux,Inter-band timing helps capture peak-lag structure in the transient.,higher values decrease Ia probability,moderate,8,
14,i_time_of_peak,temporal,Normalized time at which reconstructed i-band flux reaches its maximum.,normalized time coordinate at maximum reconstructed i-band flux,Peak timing in i band contributes to the time-evolution signature of Ia light curves.,See dependence plot.,moderate,9,
15,r_time_of_peak,temporal,Normalized time at which reconstructed r-band flux reaches its maximum.,normalized time coordinate at maximum reconstructed r-band flux,Peak timing in r band reflects band-lag physics and phase structure.,See dependence plot.,moderate,14,
16,r_std_flux,variability,Log-compressed standard deviation of reconstructed r-band flux stored as log10(1 + std).,log10(1 + standard deviation of reconstructed r-band flux),r-band spread adds another light-curve-shape cue after pruning redundant amplitudes.,See dependence plot.,weaker,15,
