feature,physical_meaning,shap_rank,mean_abs_shap,mean_pr_auc_drop,mean_f1_drop,relative_importance,directional_interpretation,interpretation
r_mean_flux,Mean brightness level in r band across the reconstructed light curve.,1,1.0886982679367065,0.12305325016383409,0.1398803842043633,dominant,higher values decrease Ia probability,Average r-band brightness encodes scale information beyond a single peak snapshot.
z_peak_flux,Peak brightness scale in z band.,2,0.8174501657485962,0.11779062898873596,0.12618779033583924,dominant,higher values increase Ia probability,"Band-specific peak brightness is a strong classifier signal, consistent with transient luminosity structure."
g_mean_flux,Mean brightness level in g band across the reconstructed light curve.,3,0.5393864512443542,0.04641556180436126,0.05464450734599617,strong,higher values decrease Ia probability,Mean g-band brightness adds complementary information to peak-only brightness proxies.
i_std_flux,Variability or spread of reconstructed i-band flux values.,4,0.5292092561721802,0.07254982434184756,0.045004739737517285,strong,higher values increase Ia probability,"i-band variability helps capture light-curve shape, not just scale."
time_span,Observed temporal coverage of the transient.,5,0.5019413828849792,0.05252073765347072,0.06818742065078558,strong,higher values increase Ia probability,Observed temporal coverage contributes because different classes occupy different effective time windows.
i_peak_flux,Peak brightness scale in i band.,6,0.45709773898124695,0.04240931552373519,0.022163144251290224,strong,higher values increase Ia probability,i-band peak brightness contributes strongly to separating Ia from non-Ia events.
peak_color_g_minus_r,Color near peak from the g-to-r flux ratio.,7,0.44769877195358276,0.056942179087910216,0.03853419080698513,strong,higher values increase Ia probability,Color near peak captures temperature or spectral-slope differences characteristic of Ia evolution.
z_time_of_peak,Time of peak in z band.,8,0.40446966886520386,0.03668850977307618,0.028150431587655157,moderate,higher values decrease Ia probability,Inter-band timing helps capture peak-lag structure in the transient.
i_time_of_peak,Time of peak in i band.,9,0.401606947183609,0.03258206617849653,0.02404274042926846,moderate,See dependence plot.,Peak timing in i band contributes to the time-evolution signature of Ia light curves.
z_std_flux,Variability or spread of reconstructed z-band flux values.,10,0.39691588282585144,0.039581457709945186,0.047152237620406344,moderate,See dependence plot.,Spread in z-band flux captures shape or variability around peak.
peak_color_r_minus_i,Color near peak from the r-to-i flux ratio.,11,0.37935110926628113,0.044868491719908324,0.03299986754473323,moderate,See dependence plot.,r-i color acts as a spectral-slope proxy near peak.
r_peak_flux,Peak brightness scale in r band.,12,0.27391207218170166,0.05310867996420021,0.032943952242159756,moderate,See dependence plot.,r-band peak brightness remains informative even after compact pruning.
peak_color_i_minus_z,Color near peak from the i-to-z flux ratio.,13,0.27005526423454285,0.036904845826506216,0.025370122787482276,moderate,See dependence plot.,i-z color contributes to distinguishing redder or later-phase light-curve behavior.
r_time_of_peak,Time of peak in r band.,14,0.2542188763618469,0.02471743788083385,0.02158340997502539,moderate,See dependence plot.,Peak timing in r band reflects band-lag physics and phase structure.
r_std_flux,Variability or spread of reconstructed r-band flux values.,15,0.1935565173625946,0.00606820535307997,0.006850476007041406,weaker,See dependence plot.,r-band spread adds another light-curve-shape cue after pruning redundant amplitudes.
i_amplitude,Peak-to-trough amplitude in the i band.,16,0.1697908192873001,0.00865395170990435,-0.004013895273181656,weaker,See dependence plot.,i-band amplitude reflects how strongly the light curve rises and falls around peak.
